거래선코드,거래선명,연월,n_orders,total_amount
CL-001,그린에어컨설치,2024-07,202,78754042
CL-001,그린에어컨설치,2024-08,162,65453246
CL-001,그린에어컨설치,2024-09,96,37429780
CL-001,그린에어컨설치,2024-10,78,25296161
CL-001,그린에어컨설치,2024-11,64,29166912
CL-001,그린에어컨설치,2024-12,52,22142969
CL-001,그린에어컨설치,2025-01,55,21717550
CL-001,그린에어컨설치,2025-02,77,29117274
CL-001,그린에어컨설치,2025-03,101,41478571
CL-001,그린에어컨설치,2025-04,121,53090047
CL-001,그린에어컨설치,2025-05,140,62199521
CL-001,그린에어컨설치,2025-06,210,83451456
CL-001,그린에어컨설치,2025-07,194,73669602
CL-001,그린에어컨설치,2025-08,165,71318739
CL-001,그린에어컨설치,2025-09,112,42304711
CL-001,그린에어컨설치,2025-10,78,35694325
CL-001,그린에어컨설치,2025-11,74,31334273
CL-001,그린에어컨설치,2025-12,64,28049075
CL-001,그린에어컨설치,2026-01,52,26207922
CL-001,그린에어컨설치,2026-02,53,19228406
CL-001,그린에어컨설치,2026-03,101,38218983
CL-001,그린에어컨설치,2026-04,182,75425821
CL-001,그린에어컨설치,2026-05,219,102286553
CL-001,그린에어컨설치,2026-06,248,96252172
CL-002,대성냉동공조,2024-07,183,66739636
CL-002,대성냉동공조,2024-08,156,56780664
CL-002,대성냉동공조,2024-09,86,31876506
CL-002,대성냉동공조,2024-10,84,38145205
CL-002,대성냉동공조,2024-11,54,17815178
CL-002,대성냉동공조,2024-12,56,26401301
CL-002,대성냉동공조,2025-01,65,24583342
CL-002,대성냉동공조,2025-02,66,27444857
CL-002,대성냉동공조,2025-03,86,29715363
CL-002,대성냉동공조,2025-04,134,61689220
CL-002,대성냉동공조,2025-05,145,51552518
CL-002,대성냉동공조,2025-06,197,73325358
CL-002,대성냉동공조,2025-07,197,79061967
CL-002,대성냉동공조,2025-08,137,60401541
CL-002,대성냉동공조,2025-09,101,39094614
CL-002,대성냉동공조,2025-10,88,37060999
CL-002,대성냉동공조,2025-11,61,29229255
CL-002,대성냉동공조,2025-12,67,32381299
CL-002,대성냉동공조,2026-01,50,25531595
CL-002,대성냉동공조,2026-02,63,26555818
CL-002,대성냉동공조,2026-03,111,46376906
CL-002,대성냉동공조,2026-04,188,86130711
CL-002,대성냉동공조,2026-05,208,77807416
CL-002,대성냉동공조,2026-06,251,99878099
CL-003,대한건설 기전팀,2024-07,166,69023294
CL-003,대한건설 기전팀,2024-08,146,55987341
CL-003,대한건설 기전팀,2024-09,112,42555381
CL-003,대한건설 기전팀,2024-10,71,28374268
CL-003,대한건설 기전팀,2024-11,61,19783946
CL-003,대한건설 기전팀,2024-12,47,18684238
CL-003,대한건설 기전팀,2025-01,61,25624575
CL-003,대한건설 기전팀,2025-02,62,29065721
CL-003,대한건설 기전팀,2025-03,87,37169908
CL-003,대한건설 기전팀,2025-04,113,39773040
CL-003,대한건설 기전팀,2025-05,133,53681653
CL-003,대한건설 기전팀,2025-06,173,58474500
CL-003,대한건설 기전팀,2025-07,170,68272048
CL-003,대한건설 기전팀,2025-08,164,62149558
CL-003,대한건설 기전팀,2025-09,102,40578399
CL-003,대한건설 기전팀,2025-10,86,28213710
CL-003,대한건설 기전팀,2025-11,59,19590166
CL-003,대한건설 기전팀,2025-12,48,21506193
CL-003,대한건설 기전팀,2026-01,63,25077752
CL-003,대한건설 기전팀,2026-02,51,17943395
CL-003,대한건설 기전팀,2026-03,72,24595292
CL-003,대한건설 기전팀,2026-04,168,66118301
CL-003,대한건설 기전팀,2026-05,220,87383392
CL-003,대한건설 기전팀,2026-06,240,99767643
CL-004,동양공조기전,2024-07,175,72199704
CL-004,동양공조기전,2024-08,154,56484643
CL-004,동양공조기전,2024-09,113,45678208
CL-004,동양공조기전,2024-10,87,32250246
CL-004,동양공조기전,2024-11,67,24256589
CL-004,동양공조기전,2024-12,60,24956276
CL-004,동양공조기전,2025-01,50,19117448
CL-004,동양공조기전,2025-02,60,20985828
CL-004,동양공조기전,2025-03,105,40296852
CL-004,동양공조기전,2025-04,132,44277344
CL-004,동양공조기전,2025-05,182,71231863
CL-004,동양공조기전,2025-06,185,71034007
CL-004,동양공조기전,2025-07,182,72660572
CL-004,동양공조기전,2025-08,138,48772804
CL-004,동양공조기전,2025-09,111,44661306
CL-004,동양공조기전,2025-10,84,30022738
CL-004,동양공조기전,2025-11,73,31336011
CL-004,동양공조기전,2025-12,54,14678131
CL-004,동양공조기전,2026-01,59,25529468
CL-004,동양공조기전,2026-02,59,25645575
CL-004,동양공조기전,2026-03,97,38637570
CL-004,동양공조기전,2026-04,190,70007715
CL-004,동양공조기전,2026-05,230,102087359
CL-004,동양공조기전,2026-06,266,114331365
CL-005,미래엔지니어링,2024-07,165,62875973
CL-005,미래엔지니어링,2024-08,152,63133218
CL-005,미래엔지니어링,2024-09,87,36921684
CL-005,미래엔지니어링,2024-10,76,29959180
