거래선코드,거래선명,거래선구분,시도,시군구,거래상태
CL-001,그린에어컨설치,설치업체,경기도,수원시 팔달구,활성
CL-002,대성냉동공조,설치업체,경기도,부천시 소사구,활성
CL-003,대한건설 기전팀,시공사,서울특별시,중랑구,활성
CL-004,동양공조기전,시공사,서울특별시,송파구,활성
CL-005,미래엔지니어링,엔지니어링,서울특별시,서대문구,활성
CL-006,삼화공조설비,설치업체,경기도,용인시 처인구,활성
CL-007,서울시스템에어컨,설치업체,서울특별시,중구,활성
CL-008,성심설비,설치업체,서울특별시,강남구,활성
CL-009,우진HVAC,설치업체,경기도,이천시,활성
CL-010,정우설비산업,유통상사,경기도,성남시 수정구,활성
CL-011,제일냉난방,설치업체,서울특별시,성북구,활성
CL-012,코엔지니어링,엔지니어링,경기도,성남시 분당구,활성
CL-013,태평양냉난방,설치업체,경기도,구리시,활성
CL-014,하나공조상사,유통상사,경기도,군포시,활성
CL-015,한일에어시스템,설치업체,서울특별시,은평구,활성
CL-016,신성설치,설치업체,경기도,부천시,활성
CL-017,대륙에어컨,설치업체,서울특별시,금천구,활성
CL-018,미림설치,설치업체,경기도,안양시,활성
CL-019,청호설비,설치업체,경기도,성남시,활성
CL-020,온누리에어컨,설치업체,서울특별시,종로구,활성
CL-021,한빛설치,설치업체,경기도,용인시 수지구,활성
CL-022,진성설비,설치업체,경기도,연천군,활성
CL-023,유니온에어컨,설치업체,경기도,시흥시,활성
CL-024,대영설치,설치업체,경기도,수원시,활성
CL-025,백두설비,설치업체,서울특별시,서초구,활성
CL-026,파인에어컨,설치업체,경기도,의정부시,활성
CL-027,동서설치,설치업체,경기도,과천시,활성
CL-028,명성설비,설치업체,서울특별시,도봉구,활성
CL-029,이든에어컨,설치업체,경기도,광명시,활성
CL-030,창조설치,설치업체,경기도,용인시 기흥구,활성
CL-031,세종설비,설치업체,경기도,화성시,활성
CL-032,다온에어컨,설치업체,서울특별시,관악구,활성
CL-033,우성건설 기전팀,시공사,경기도,고양시,활성
CL-034,한양건설 설비팀,시공사,서울특별시,동대문구,활성
CL-035,대성엔지니어링,엔지니어링,서울특별시,용산구,활성
CL-036,유니텍엔지니어링,엔지니어링,경기도,부천시 원미구,활성
CL-037,신한엔지니어링,엔지니어링,경기도,성남시 중원구,활성
CL-038,동아설비상사,유통상사,경기도,여주시,활성
CL-039,한강유통산업,유통상사,서울특별시,양천구,활성
CL-040,대신설비산업,유통상사,서울특별시,영등포구,활성
