거래선코드,거래선명,연월,n_orders,total_amount
CL-001,그린에어컨설치,2025-07,154,69295981
CL-001,그린에어컨설치,2025-08,124,64244355
CL-001,그린에어컨설치,2025-09,84,43778673
CL-001,그린에어컨설치,2025-10,68,34841011
CL-001,그린에어컨설치,2025-11,53,23785810
CL-001,그린에어컨설치,2025-12,59,32199742
CL-001,그린에어컨설치,2026-01,40,18664954
CL-001,그린에어컨설치,2026-02,60,30240833
CL-001,그린에어컨설치,2026-03,86,43714200
CL-001,그린에어컨설치,2026-04,117,57029005
CL-001,그린에어컨설치,2026-05,124,58161828
CL-001,그린에어컨설치,2026-06,174,78295015
CL-002,대성냉동공조,2025-07,151,73679450
CL-002,대성냉동공조,2025-08,127,55920020
CL-002,대성냉동공조,2025-09,111,53844712
CL-002,대성냉동공조,2025-10,81,43981084
CL-002,대성냉동공조,2025-11,65,31900572
CL-002,대성냉동공조,2025-12,54,25720910
CL-002,대성냉동공조,2026-01,40,16656129
CL-002,대성냉동공조,2026-02,50,26380746
CL-002,대성냉동공조,2026-03,86,43972112
CL-002,대성냉동공조,2026-04,103,57482789
CL-002,대성냉동공조,2026-05,125,54930920
CL-002,대성냉동공조,2026-06,175,79606891
CL-003,대한건설 기전팀,2025-07,127,68924080
CL-003,대한건설 기전팀,2025-08,111,52862599
CL-003,대한건설 기전팀,2025-09,101,46878444
CL-003,대한건설 기전팀,2025-10,60,33245915
CL-003,대한건설 기전팀,2025-11,41,19715620
CL-003,대한건설 기전팀,2025-12,43,23553618
CL-003,대한건설 기전팀,2026-01,41,22636938
CL-003,대한건설 기전팀,2026-02,41,21282714
CL-003,대한건설 기전팀,2026-03,62,29588187
CL-003,대한건설 기전팀,2026-04,86,44813805
CL-003,대한건설 기전팀,2026-05,134,71866952
CL-003,대한건설 기전팀,2026-06,142,61482253
CL-004,동양공조기전,2025-07,158,76356647
CL-004,동양공조기전,2025-08,149,72011184
CL-004,동양공조기전,2025-09,74,27832595
CL-004,동양공조기전,2025-10,76,34857021
CL-004,동양공조기전,2025-11,59,26394451
CL-004,동양공조기전,2025-12,52,25591942
CL-004,동양공조기전,2026-01,61,31180203
CL-004,동양공조기전,2026-02,51,20071445
CL-004,동양공조기전,2026-03,85,41016610
CL-004,동양공조기전,2026-04,101,42257823
CL-004,동양공조기전,2026-05,140,55852595
CL-004,동양공조기전,2026-06,167,81440521
CL-005,미래엔지니어링,2025-07,135,62324571
CL-005,미래엔지니어링,2025-08,121,58075889
CL-005,미래엔지니어링,2025-09,81,48064575
CL-005,미래엔지니어링,2025-10,81,44672201
CL-005,미래엔지니어링,2025-11,51,24232457
CL-005,미래엔지니어링,2025-12,55,22481256
CL-005,미래엔지니어링,2026-01,57,26648968
CL-005,미래엔지니어링,2026-02,51,22829721
CL-005,미래엔지니어링,2026-03,86,47995491
CL-005,미래엔지니어링,2026-04,94,48908194
CL-005,미래엔지니어링,2026-05,115,63439497
CL-005,미래엔지니어링,2026-06,147,73166355
CL-006,삼화공조설비,2025-07,162,74621031
CL-006,삼화공조설비,2025-08,111,55421034
CL-006,삼화공조설비,2025-09,77,35429955
CL-006,삼화공조설비,2025-10,61,31370614
CL-006,삼화공조설비,2025-11,46,25410777
CL-006,삼화공조설비,2025-12,44,28651648
CL-006,삼화공조설비,2026-01,38,26746016
CL-006,삼화공조설비,2026-02,47,25200471
CL-006,삼화공조설비,2026-03,67,39481016
CL-006,삼화공조설비,2026-04,91,46268944
CL-006,삼화공조설비,2026-05,112,57748176
CL-006,삼화공조설비,2026-06,149,80176078
CL-007,서울시스템에어컨,2025-07,132,69979365
