거래선코드,거래선명,거래선구분,시도,시군구,거래상태
CL-001,그린에어컨설치,설치업체,경기도,부천시 오정구,활성
CL-002,대성냉동공조,설치업체,경기도,안양시 만안구,활성
CL-003,대한건설 기전팀,시공사,서울특별시,동작구,활성
CL-004,동양공조기전,시공사,경기도,남양주시,활성
CL-005,미래엔지니어링,엔지니어링,경기도,부천시 원미구,활성
CL-006,삼화공조설비,설치업체,서울특별시,서초구,활성
CL-007,서울시스템에어컨,설치업체,경기도,동두천시,활성
CL-008,성심설비,설치업체,경기도,용인시 기흥구,활성
CL-009,우진HVAC,설치업체,경기도,구리시,활성
CL-010,정우설비산업,유통상사,경기도,고양시 덕양구,활성
CL-011,제일냉난방,설치업체,서울특별시,노원구,활성
CL-012,코엔지니어링,엔지니어링,경기도,안양시 동안구,활성
CL-013,태평양냉난방,설치업체,경기도,성남시 분당구,활성
CL-014,하나공조상사,유통상사,서울특별시,용산구,활성
CL-015,한일에어시스템,설치업체,경기도,여주시,활성
