rnum,platPlc,sigunguCd,bjdongCd,platGbCd,bun,ji,mgmBldrgstPk,mgmUpBldrgstPk,bldgId,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,newPlatPlc,bldNm,splotNm,block,lot,bylotCnt,naRoadCd,naBjdongCd,naUgrndCd,naMainBun,naSubBun,jiyukCd,jiguCd,guyukCd,jiyukCdNm,jiguCdNm,guyukCdNm,crtnDay
1,경기도 성남시 분당구 백현동 237번지,41135,11000,0,0237,0000,10891124356,0,2120041910007063,1,일반,2,일반건축물, , , , , ,0, , ,0,0,0, , , , , , ,20220909
2,경기도 성남시 분당구 백현동 241번지,41135,11000,0,0241,0000,10891124853,0,2120041910007073,1,일반,2,일반건축물, , , , , ,0, , ,0,0,0, , , , , , ,20220909
3,경기도 성남시 분당구 백현동 261번지,41135,11000,0,0261,0000,10891126748,0,2120041910007103,1,일반,2,일반건축물, , , , , ,0, , ,0,0,0, , , , , , ,20220909
4,경기도 성남시 분당구 백현동 298-24번지,41135,11000,0,0298,0024,10891123746,0,2120041910007154,1,일반,2,일반건축물, , , , , ,0, , ,0,0,0, , , , , , ,20220909
5,경기도 성남시 분당구 백현동 302-1번지,41135,11000,0,0302,0001,10891126856,0,2120041910007155,1,일반,2,일반건축물, , , , , ,0, , ,0,0,0,1020, , ,일반주거지역, , ,20220909
6,경기도 성남시 분당구 백현동 309번지,41135,11000,0,0309,0000,10891121893,0,2120041910007156,1,일반,2,일반건축물, , , , , ,0, , ,0,0,0, , , , , , ,20220909
7,경기도 성남시 분당구 백현동 327-5번지,41135,11000,0,0327,0005,10891124289,0,2120041910007157,1,일반,2,일반건축물, , , , , ,0, , ,0,0,0, , , , , , ,20220909
8,경기도 성남시 분당구 백현동 332번지,41135,11000,0,0332,0000,10891125594,0,2120041910007158,1,일반,2,일반건축물, , , , , ,3, , ,0,0,0, , , , , , ,20220909
9,경기도 성남시 분당구 백현동 359-1번지,41135,11000,0,0359,0001,1000000000000000159611,1000000000000002772765,2120221911920150,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로 396 (백현동), , , , ,1,411353180005,11003,0,396,0,UQA410, ,UQQ300,보전녹지지역, ,지구단위계획구역,20231208
10,경기도 성남시 분당구 백현동 359-1번지,41135,11000,0,0359,0001,1000000000000002772766,1000000000000002772765,2120241914697133,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로 396 (백현동), , , , ,1,411353180005,11003,0,396,0, , , , , , ,20240323
11,경기도 성남시 분당구 백현동 359-1번지,41135,11000,0,0359,0001,1000000000000002772765,0,2020231913928183,1,일반,1,총괄표제부,경기도 성남시 분당구 대왕판교로 392 (백현동), , , , ,1,411353180005,11003,0,392,0,UQA410, ,UQQ300,보전녹지지역, ,지구단위계획구역,20231208
12,경기도 성남시 분당구 백현동 366-7번지,41135,11000,0,0366,0007,10891100172034,0,2120071910000417,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 7 (백현동), , , , ,0,411354340050,11001,0,7,0,1330, , ,자연녹지지역, , ,20220909
