rnum,platPlc,sigunguCd,bjdongCd,platGbCd,bun,ji,mgmPmsrgstPk,bldNm,splotNm,block,lot,jimokCdNm,jiyukCdNm,jiguCdNm,guyukCd,guyukCdNm,jimokCd,jiyukCd,jiguCd,archGbCd,archGbCdNm,platArea,archArea,bcRat,totArea,vlRatEstmTotArea,vlRat,mainBldCnt,atchBldDongCnt,mainPurpsCd,mainPurpsCdNm,hhldCnt,hoCnt,fmlyCnt,totPkngCnt,stcnsSchedDay,stcnsDelayDay,realStcnsDay,archPmsDay,useAprDay,crtnDay
1,경기도 성남시 분당구 백현동 132-190번지,41135,11000,0,0132,0190,1089100059345, , , , ,답, , , , ,02, , , , ,1682.0,45.0,0.0,45.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20190716, ,20220909
2,경기도 성남시 분당구 백현동 144번지,41135,11000,0,0144,0000,108915616, ,외 3필지,144, , , , , , , , , , , ,3042.217,901.44,0.0,901.44,0.0,0.0,0,0, , ,0,0,0,0, , , ,20060612, ,20220909
3,경기도 성남시 분당구 백현동 144번지,41135,11000,0,0144,0000,108915617, ,외 3필지, , , , , , , , , , , , ,3042.217,72.0,0.0,72.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20060612, ,20220909
4,경기도 성남시 분당구 백현동 165번지,41135,11000,0,0165,0000,108915596, , , , , , , , , , , , , , ,1679.0,757.44,0.0,757.44,0.0,0.0,0,0, , ,0,0,0,0, , , ,20060329, ,20220909
5,경기도 성남시 분당구 백현동 165번지,41135,11000,0,0165,0000,108915618, , , , , , , , , , , , , , ,1862.0,705.48,0.0,705.48,0.0,0.0,0,0, , ,0,0,0,0, , , ,20060620, ,20220909
6,경기도 성남시 분당구 백현동 165번지,41135,11000,0,0165,0000,108915615, , , , , , , , , , , , , , ,1000.0,411.76,0.0,411.76,0.0,0.0,0,0, , ,0,0,0,0, , , ,20060612, ,20220909
7,경기도 성남시 분당구 백현동 168-10번지,41135,11000,0,0168,0010,1089100011309, , , , ,대,제1종일반주거지역, ,301,제1종지구단위계획구역,08,1021, , , ,271.0,18.0,0.0,18.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20091001, ,20220909
8,경기도 성남시 분당구 백현동 172-2번지,41135,11000,0,0172,0002,108915619, ,외 3필지, , , , , , , , , , , , ,500.0,197.28,0.0,197.28,0.0,0.0,0,0, , ,0,0,0,0, , , ,20060620, ,20220909
9,경기도 성남시 분당구 백현동 173-16번지,41135,11000,0,0173,0016,108915595, ,경기도 성남시 분당구 백현동,173,16, , , , , , , , , , ,3000.0,584.64,0.0,584.64,0.0,0.0,0,0, , ,0,0,0,0, , , ,20060329, ,20220909
10,경기도 성남시 분당구 백현동 173-16번지,41135,11000,0,0173,0016,1089100005881, , , , ,대, , , , ,08, , , , ,20.0,18.0,0.0,36.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20080620, ,20220909
11,경기도 성남시 분당구 백현동 173-16번지,41135,11000,0,0173,0016,1089100006507, , , , ,대, , , , ,08, , , , ,600.0,135.0,0.0,135.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20081015, ,20220909
12,경기도 성남시 분당구 백현동 173-16번지,41135,11000,0,0173,0016,108915661, , , , , , , , , , , , , , ,3000.0,45.0,0.0,45.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20061127, ,20220909
13,경기도 성남시 분당구 백현동 194-1번지,41135,11000,0,0194,0001,108915650, ,외 5필지, , , , , , , , , , , , ,3819.06,580.01,0.0,580.01,0.0,0.0,0,0, , ,0,0,0,0, , , ,20060907, ,20220909
14,경기도 성남시 분당구 백현동 196-2번지,41135,11000,0,0196,0002,108915664, , , , , , , , , , , , , , ,5007.31,132.0,0.0,132.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20061207, ,20220909
15,경기도 성남시 분당구 백현동 196-5번지,41135,11000,0,0196,0005,1089100005836, , , , ,창고용지, , , , ,13, , , , ,2847.3,144.0,0.0,144.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20080618, ,20220909
16,경기도 성남시 분당구 백현동 198-1번지,41135,11000,0,0198,0001,108915665, , , , , , , , , , , , , , ,2456.0,45.3,0.0,45.3,0.0,0.0,0,0, , ,0,0,0,0, , , ,20061208, ,20220909
17,경기도 성남시 분당구 백현동 236-4번지,41135,11000,0,0236,0004,108915766,판교신도시사업단현장사무소, , , ,전,보전녹지지역,택지개발예정지구, , ,01,1310,280,3000,가설건축물축조허가,8499.21,2147.74,25.27,5133.19,5133.19,60.4,1,0,14000,업무시설,0,0,0,105,20070803, ,20070813,20070430,20070928,20220909
18,경기도 성남시 분당구 백현동 245번지,41135,11000,0,0245,0000,108915668, , , , , , , , , , , , , , ,1653.0,414.0,0.0,711.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20061220, ,20220909
