기관ID,기관명,통계표ID,통계표명,조사ID,조사명,KOSIS목록구분,KOSIS통계표위치,통계표위치,통계표주요내용,수록기간시작일,수록기간종료일,통계표주석,추천통계표여부,KOSIS목록URL,KOSIS통계표URL,검색결과건수,검색어명
116,국토교통부,DT_MLTM_2086,미분양현황_종합,1998033,미분양주택현황보고,MT_ZTITLE,주거 > 미분양주택현황보고,I1 > I1_2,대분류 구분 규모별미분양현황 부문별미분양현황 시도별미분양현황 60-85㎡ 제주도 40㎡이하 공공부문 대구광역시 강원도 경상남도 인천광역시 전라남도 40-60㎡ 전국 수도권 계 (준공후) 서울특별시 부산광역시 세종특별자치시 경상북도 60㎡이하 울산광역시 경기도 충청북도 충청남도 광주광역시 대전광역시 지방 85㎡초과 민간부문 전라북도 미분양(12월기준),2001,2025,해당연도 12월말 기준 자료 : 국토교통부 주택토지실 주택정책관 주택정책과,N,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=I1.1;I1_2.2;,http://kosis.kr/statHtml/statHtml.do?orgId=116&tblId=DT_MLTM_2086,308,미분양 현황
116,국토교통부,DT_MLTM_810,주택분양보증현황,2006249,주택도시기금및주택분양보증현황,MT_ZTITLE,주거 > 주택도시기금및주택분양보증현황,I1 > I1_10,보증대상 주택분양 주상복합주택분양 오피스텔분양 주택임대 건수 호수 금액,1995,2025,자료 : 주택도시보증공사,N,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=I1.1;I1_10.2;,http://kosis.kr/statHtml/statHtml.do?orgId=116&tblId=DT_MLTM_810,308,미분양 현황
116,국토교통부,DT_MLTM_2082,시·군·구별 미분양현황,1998033,미분양주택현황보고,MT_ZTITLE,주거 > 미분양주택현황보고,I1 > I1_2,... 동해시 영월군 철원군 청원군 증평군 당진시 청양군 조치원읍 군산시 정읍시 장성군 청도군 예천군 봉화군 장수군 순천시 담양군 신안군 영양군 성주군 칠곡군 진해시 도봉구 영등포구 서구 수성구 안산시 남양주시 용인시 원주시 정선군 화천군 음성군 연기군 홍성군 구미시 영주시 울릉군 금천구 강북구 동대문구 서대문구 마포구 양천구 금정구 부산진구 연제구 남동구 광명시 구리시 군포시 여주군 화성시 고성군 양양군 청주시 옥천군 아산시 김제시 목포시 고흥군 영암군 사천시 함양군 미분양현황,2000,2026,자료 : 국토교통부 주택토지실 주택정책관 주택정책과,N,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=I1.1;I1_2.2;,http://kosis.kr/statHtml/statHtml.do?orgId=116&tblId=DT_MLTM_2082,308,미분양 현황
101,국토교통부,DT_1YL202004E,미분양주택현황(시도/시/군/구),1998033,미분양주택현황보고,MT_GTITLE01,주제별 > 주거와 교통,107,... 양양군 성동구 강북구 서귀포시 태백시 계룡시 보은군 성북구 영도구 광산구 철원군 청양군 홍성군 가평군 진천군 보령시 예산군 당진군 영양군 마산시 광명시 횡성군 전주시 김해시 하동군 광주시 사하구 논산시 완주군 진안군 광양시 영암군 청도군 울진군 양산시 거창군 강동구 관악구 구로구 해운대구 수영구 달서구 연수구 대덕구 울주군 세종시 고양시 평택시 평창군 화천군 양구군 고성군 괴산군 제천시 당진시 담양군 신안군 안동시 상주시 영덕군 진주시 거제시 함안군 중구 강서구 미분양현황,2000,2026,■ 자료제공처: 국가데이터처 지역통계기획팀 ■ 자료원출처: 국토교통부(미분양주택현황보고) ■ 자료제공주기: 월 ■ 자료제공시기: 조사기준년도 월 익월말,N,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_03_01&vwcd=MT_GTITLE01&parmTabId=M_01_01&parentId=107.1;,http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL202004E,308,미분양 현황
116,국토교통부,DT_MLTM_5328,공사완료후 미분양현황,1998033,미분양주택현황보고,MT_ZTITLE,주거 > 미분양주택현황보고,I1 > I1_2,구분 시군구 부문 규모 부산 대구 전국 대전 강원 충남 전남 경북 광주 울산 충북 인천 경기 제주 세종 전북 서울 경남 성동구 용산구 영등포구 관악구 강동구 달성군 동두천시 안산시 군포시 이천시 과천시 연천군 속초시 고성군 영동군 진천군 예산군 당진시 정읍시 진안군 무주군 나주시 화순군 무안군 함평군 경주시 성주군 밀양시 의령군 함안군 제주시 중구 광진구 홍천군 제천시 보령시 아산시 금산군 부여군 당진군 전주시 김제시 완주군 고창군 고령군 김해시 노원구 부산진구 남구 금...,2007,2026,자료 : 국토교통부 주택토지실 주택정책관 주택정책과,N,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=I1.1;I1_2.2;,http://kosis.kr/statHtml/statHtml.do?orgId=116&tblId=DT_MLTM_5328,308,미분양 현황
116,국토교통부,DT_MLTM_2080,규모별 미분양현황,1998033,미분양주택현황보고,MT_ZTITLE,주거 > 미분양주택현황보고,I1 > I1_2,시도 부문 규모 광주 경남 강원 충남 울산 대구 전국 서울 부산 경기 세종 제주 대전 경북 수도권 인천 충북 전북 전남 공공부문 총합 민간부문 소계 60㎡이하 40㎡이하 총합 40∼60㎡ 85㎡초과 60∼85㎡ 공공부문 호,2007,2026,주1) 통계변경승인(승인일자 2021-11-24)으로 ＇21.11월 공표되는 통계부터 면적 구분 변경 주2) 공공부문은 민간업체가 국민주택기금을 지원받은 것을 의미 자료 : 국토교통부 주택토지실 주택정책관 주택정책과,N,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=I1.1;I1_2.2;,http://kosis.kr/statHtml/statHtml.do?orgId=116&tblId=DT_MLTM_2080,308,미분양 현황
116,국토교통부,DT_MLTM_808,국민주택채권발행현황,2006249,주택도시기금및주택분양보증현황,MT_ZTITLE,주거 > 주택도시기금및주택분양보증현황,I1 > I1_10,발행 및 상환 채권유형 잔액(누계) 발행 상환 합계 상환 잔액(누계) 제1종 제2종 금액,1995,2025,"주) 2005년도 1종채권 발행액에 3종채권 발행액 5,942억원이 포함 자료 : 국토교통부 주택토지실 주택정책관 주택기금과",N,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=I1.1;I1_10.2;,http://kosis.kr/statHtml/statHtml.do?orgId=116&tblId=DT_MLTM_808,308,미분양 현황
116,국토교통부,DT_MLTM_5550,주택도시기금 운용현황,2006249,주택도시기금및주택분양보증현황,MT_ZTITLE,주거 > 주택도시기금및주택분양보증현황,I1 > I1_10,사업 주택금융신용보증기금출연 기금운영비 차입금상환등 -융자사업 -기타사업 여유자금 합계 사업비(융자사업+기타사업) 운용계획,1997,2025,자료 : 국토교통부 주택토지실 주택정책관 주택기금과,N,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=I1.1;I1_10.2;,http://kosis.kr/statHtml/statHtml.do?orgId=116&tblId=DT_MLTM_5550,308,미분양 현황
116,국토교통부,DT_MLTM_814,주택도시기금 조성현황,2006249,주택도시기금및주택분양보증현황,MT_ZTITLE,주거 > 주택도시기금및주택분양보증현황,I1 > I1_10,재원 재정융자 제2종국민주택채권 예탁금 주택저당증권발행 복권기금전입금 일반회계전입금 농특융자 융자금회수 공무원연금기금예수금 합계 제1종국민주택채권 청약저축 수입이자등 복권자금 전기이월금 공공자금관리기금예수금 타계정전입금 조성금액,1997,2025,자료 : 국토교통부 주택토지실 주택정책관 주택기금과,N,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=I1.1;I1_10.2;,http://kosis.kr/statHtml/statHtml.do?orgId=116&tblId=DT_MLTM_814,308,미분양 현황
116,국토교통부,DT_MLTM_806,주택도시기금 대출실적,2006249,주택도시기금및주택분양보증현황,MT_ZTITLE,주거 > 주택도시기금및주택분양보증현황,I1 > I1_10,지역 충북 경기 경북 부산 충남 서울 세종 경남 전국 대구 인천 광주 전북 제주 강원 전남 기타 대전 울산 호수 금액,2014,2025,"주1) 기표기준, 울산지역은 2000년까지 경남에 포함 주2) ＇15년까지 기존주택전세임대자금, 소년소녀가정 등 전세자금 등 지역별 지원실적 파악이 어려운 항목은 기타로 분류되었으나, ＇16년부터는 제외 주3) 집계 대출상품(＇16년 이후~) : 버팀목대출, 주거안정월세대출, 디딤돌대출, 공유형모기지대출, 오피스텔구입자금대출 주4) 디딤돌대출 주택금융공사 유동화 재원(이차보전방식 지원) 포함 자료 : 국토교통부 주택토지실 주택정책관 주택기금과 자료제공 : (~＇15년) 국민주택기금 수탁은행 (＇16년 이후~) 주택도시보증공사",N,https://kosis.kr/statisticsList/statisticsListIndex.do?menuId=M_01_01&vwcd=MT_ZTITLE&parmTabId=M_01_01&parentId=I1.1;I1_10.2;,http://kosis.kr/statHtml/statHtml.do?orgId=116&tblId=DT_MLTM_806,308,미분양 현황
