sido_short,시도명,시군구코드,시군구명,읍면동명,법정동코드,bdong_code
서울,서울특별시,11110,종로구,청운동,1111010100,10100
서울,서울특별시,11140,중구,무교동,1114010100,10100
서울,서울특별시,11170,용산구,후암동,1117010100,10100
서울,서울특별시,11200,성동구,상왕십리동,1120010100,10100
서울,서울특별시,11215,광진구,중곡동,1121510100,10100
서울,서울특별시,11230,동대문구,신설동,1123010100,10100
서울,서울특별시,11260,중랑구,면목동,1126010100,10100
서울,서울특별시,11290,성북구,성북동,1129010100,10100
서울,서울특별시,11305,강북구,미아동,1130510100,10100
서울,서울특별시,11320,도봉구,쌍문동,1132010500,10500
서울,서울특별시,11350,노원구,월계동,1135010200,10200
서울,서울특별시,11380,은평구,수색동,1138010100,10100
서울,서울특별시,11410,서대문구,충정로2가,1141010100,10100
서울,서울특별시,11440,마포구,아현동,1144010100,10100
서울,서울특별시,11470,양천구,신정동,1147010100,10100
서울,서울특별시,11500,강서구,염창동,1150010100,10100
서울,서울특별시,11530,구로구,신도림동,1153010100,10100
서울,서울특별시,11545,금천구,가산동,1154510100,10100
서울,서울특별시,11560,영등포구,영등포동,1156010100,10100
서울,서울특별시,11590,동작구,노량진동,1159010100,10100
서울,서울특별시,11620,관악구,봉천동,1162010100,10100
서울,서울특별시,11650,서초구,방배동,1165010100,10100
서울,서울특별시,11680,강남구,역삼동,1168010100,10100
서울,서울특별시,11710,송파구,잠실동,1171010100,10100
서울,서울특별시,11740,강동구,명일동,1174010100,10100
경기,경기도,41111,수원시 장안구,파장동,4111112900,12900
경기,경기도,41113,수원시 권선구,세류동,4111312600,12600
경기,경기도,41115,수원시 팔달구,팔달로1가,4111512000,12000
경기,경기도,41117,수원시 영통구,매탄동,4111710100,10100
경기,경기도,41131,성남시 수정구,신흥동,4113110100,10100
경기,경기도,41133,성남시 중원구,성남동,4113310100,10100
경기,경기도,41135,성남시 분당구,분당동,4113510100,10100
경기,경기도,41150,의정부시,의정부동,4115010100,10100
경기,경기도,41171,안양시 만안구,안양동,4117110100,10100
경기,경기도,41173,안양시 동안구,비산동,4117310100,10100
경기,경기도,41192,부천시 원미구,원미동,4119210100,10100
경기,경기도,41194,부천시 소사구,소사본동,4119410100,10100
경기,경기도,41196,부천시 오정구,오정동,4119610100,10100
경기,경기도,41210,광명시,광명동,4121010100,10100
경기,경기도,41220,평택시,서정동,4122010100,10100
경기,경기도,41250,동두천시,송내동,4125010100,10100
경기,경기도,41271,안산시 상록구,일동,4127110100,10100
경기,경기도,41273,안산시 단원구,고잔동,4127310100,10100
경기,경기도,41281,고양시 덕양구,주교동,4128110100,10100
경기,경기도,41285,고양시 일산동구,식사동,4128510100,10100
경기,경기도,41287,고양시 일산서구,일산동,4128710100,10100
경기,경기도,41290,과천시,관문동,4129010100,10100
경기,경기도,41310,구리시,갈매동,4131010100,10100
경기,경기도,41360,남양주시,호평동,4136010100,10100
경기,경기도,41370,오산시,오산동,4137010100,10100
경기,경기도,41390,시흥시,대야동,4139010100,10100
경기,경기도,41410,군포시,당동,4141010100,10100
경기,경기도,41430,의왕시,고천동,4143010100,10100
경기,경기도,41450,하남시,천현동,4145010100,10100
경기,경기도,41461,용인시 처인구,김량장동,4146110100,10100
경기,경기도,41463,용인시 기흥구,신갈동,4146310100,10100
경기,경기도,41465,용인시 수지구,풍덕천동,4146510100,10100
경기,경기도,41480,파주시,금촌동,4148010100,10100
경기,경기도,41500,이천시,창전동,4150010100,10100
경기,경기도,41550,안성시,봉산동,4155010100,10100
경기,경기도,41570,김포시,북변동,4157010100,10100
경기,경기도,41590,화성시,진안동,4159011600,11600
경기,경기도,41610,광주시,경안동,4161010100,10100
경기,경기도,41630,양주시,유양동,4163010100,10100
경기,경기도,41650,포천시,신읍동,4165010100,10100
경기,경기도,41670,여주시,상동,4167010100,10100
경기,경기도,41800,연천군,연천읍,4180025000,25000
경기,경기도,41820,가평군,가평읍,4182025000,25000
경기,경기도,41830,양평군,양평읍,4183025000,25000
