법정동시군구코드,법정동읍면동코드,법정동지번코드,법정동본번코드,법정동부번코드,도로명,도로명시군구코드,도로명코드,도로명일련번호코드,도로명지상지하코드,도로명건물본번호코드,도로명건물부번호코드,법정동,단지명,지번,전용면적,계약년도,계약월,계약일,거래금액,층,건축년도,단지일련번호,해제여부,해제사유발생일,거래유형,중개사소재지,등기일자,아파트동명,매도자,매수자,토지임대부아파트여부
41135,10500,1,0087,0000,중앙공원로,41135,3180049,01,0,00053,00000,서현동,시범삼성,87,192.15,2025,6,12,265000,27,1991,41135-98,None,None,중개거래,경기 성남시 분당구,26.01.09,111,개인,개인,N
41135,11400,1,0212,0000,미금로22번길,41135,4340093,01,0,00010,00000,구미동,무지개(12단지)(주공),212,49.67,2025,6,11,61200,12,1995,41135-187,None,None,중개거래,"경기 성남시 분당구, 서울 강남구",25.11.20,1208,개인,개인,N
41135,10700,1,0536,0000,야탑로,41135,3180041,01,0,00020,00000,야탑동,탑마을(선경)1,536,51.84,2025,6,7,92000,6,1992,41135-145,None,None,중개거래,경기 성남시 분당구,25.12.22,115,개인,개인,N
41135,11000,1,0608,0000,판교백현로,41135,3352601,02,0,00038,00000,백현동,THESHARP판교퍼스트파크,608,114.5609,2025,6,25,163000,6,2021,41135-594,None,None,중개거래,경기 성남시 분당구,25.12.16,102동,개인,개인,N
41135,10300,1,0006,0000,정자일로,41135,3180021,01,0,00248,00000,정자동,파크뷰,6,139.717,2025,6,9,265000,9,2004,41135-250,None,None,중개거래,경기 성남시 분당구,26.01.30,602,개인,개인,N
41135,11400,1,0077,0000,미금로,41135,3180016,02,0,00184,00000,구미동,까치마을(1단지)(대우롯데선경),77,70.66,2025,6,3,125000,15,1995,41135-232,None,None,중개거래,경기 성남시 분당구,25.10.21,109,개인,개인,N
41135,10300,1,0028,0001,성남대로,41135,2000005,02,0,00449,00000,정자동,로얄팰리스,28-1,137.76,2025,6,20,195000,25,2003,41135-70,None,None,중개거래,경기 성남시 분당구,25.12.10,에이동,개인,개인,N
41135,10300,1,0121,0000,내정로,41135,3180003,02,0,00055,00000,정자동,상록마을(우성)1,121,162.57,2025,6,9,235000,10,1994,41135-60,None,None,중개거래,경기 성남시 분당구,25.10.15,314,개인,개인,N
41135,11100,1,0141,0000,미금로,41135,3180016,01,0,00215,00000,금곡동,청솔마을(대원),141,129.45,2025,6,4,160000,12,1994,41135-152,None,None,중개거래,경기 성남시 분당구,25.09.30,808,개인,개인,N
41135,10300,1,0180,0000,정자일로,41135,3180021,01,0,00100,00000,정자동,미켈란쉐르빌,180,194.81,2025,6,24,268000,9,2003,41135-241,None,None,중개거래,경기 성남시 분당구,25.11.28,C,개인,개인,N
41135,10200,1,0073,0000,수내로,41135,3180039,02,0,00206,00000,수내동,푸른마을(신성),73,59.78,2025,6,16,109500,3,1992,41135-79,None,None,중개거래,경기 성남시 분당구,25.09.30,311,개인,개인,N
41135,11000,1,0545,0000,동판교로,41135,3178016,02,0,00122,00000,백현동,백현마을2단지,545,84.82,2025,6,4,195000,2,2009,41135-473,None,None,중개거래,"경기 성남시 분당구, 서울 강남구",25.09.23,207,개인,개인,N
41135,11500,1,0958,0000,산운로,41135,3180031,01,0,00126,00000,운중동,산운마을9단지(대방노블랜드),958,84.99,2025,6,16,157000,17,2008,41135-435,None,None,중개거래,경기 성남시 분당구,25.09.23,901,개인,개인,N
41135,11100,1,0181,0000,정자일로,41135,3180021,02,0,00072,00000,금곡동,청솔마을(한라),181,58.8,2025,6,3,114400,8,1995,41135-159,None,None,중개거래,경기 성남시 분당구,25.09.23,302,개인,개인,N
41135,10700,1,0205,0000,양현로,41135,3180042,03,0,00537,00000,야탑동,매화마을(주공3),205,41.85,2025,6,26,54000,14,1993,41135-117,None,None,중개거래,경기 성남시 분당구,25.09.30,315,개인,개인,N
41135,10200,1,0052,0000,수내로,41135,3180039,02,0,00148,00000,수내동,파크타운(서안),52,131.49,2025,6,12,203000,3,1993,41135-77,None,None,중개거래,경기 성남시 분당구,25.11.07,109,개인,개인,N
41135,11500,1,0916,0000,판교원로82번길,41135,4340480,01,0,00060,00000,운중동,산운마을14단지(경남아너스빌),916,115.44,2025,6,16,153500,7,2009,41135-456,None,None,중개거래,경기 성남시 분당구,25.10.31,1402,개인,개인,N
41135,11100,1,0133,0000,미금로,41135,3180016,01,0,00216,00000,금곡동,청솔마을(주공9단지),133,36.54,2025,6,25,69000,11,1995,41135-158,None,None,중개거래,경기 성남시 분당구,25.09.12,902,개인,개인,N
41135,10500,1,0092,0000,중앙공원로,41135,3180049,01,0,00020,00000,서현동,시범현대,92,129.73,2025,6,11,217000,6,1991,41135-99,None,None,중개거래,경기 성남시 분당구,25.09.15,421,개인,개인,N
41135,10800,1,0513,0000,서판교로,41135,3180044,01,0,00147,00000,판교동,판교원마을11단지(힐스테이트),513,101.76,2025,6,13,160000,7,2009,41135-448,None,None,중개거래,경기 성남시 분당구,25.10.31,1112,개인,개인,N
41135,11400,1,0066,0000,미금로,41135,3180016,02,0,00177,00000,구미동,까치마을(3단지)(신원),66,130.83,2025,6,12,164000,1,1995,41135-165,None,None,중개거래,경기 성남시 분당구,25.11.18,312,개인,개인,N
41135,10700,1,0334,0000,장미로,41135,3180048,01,0,00101,00000,야탑동,장미마을(현대),334,84.97,2025,6,21,119000,8,1993,41135-139,None,None,중개거래,경기 성남시 분당구,25.10.30,834,개인,개인,N
41135,10700,1,0330,0000,장미로,41135,3180048,01,0,00055,00000,야탑동,장미마을(동부),330,131.73,2025,6,21,154500,8,1993,41135-137,None,None,중개거래,경기 성남시 분당구,25.10.31,111,개인,개인,N
41135,11400,1,0212,0000,미금로22번길,41135,4340093,01,0,00010,00000,구미동,무지개(12단지)(주공),212,59.98,2025,6,24,66000,1,1995,41135-187,None,None,중개거래,경기 성남시 분당구,25.10.28,1207,개인,개인,N
41135,11500,1,0988,0000,산운로,41135,3180031,01,0,00121,00000,운중동,산운마을6단지(신동아파밀리에),988,101.06,2025,6,6,186000,10,2009,41135-467,None,None,중개거래,경기 성남시 분당구,25.10.30,608,개인,개인,N
41135,10300,1,0006,0000,정자일로,41135,3180021,01,0,00248,00000,정자동,파크뷰,6,139.68,2025,6,11,280000,25,2004,41135-250,None,None,중개거래,경기 성남시 분당구,25.09.30,606,개인,개인,N
41135,10100,1,0066,0000,장안로51번길,41135,4340382,01,0,00031,00000,분당동,장안타운(건영),66,53.72,2025,6,19,78000,7,1993,41135-32,None,None,중개거래,경기 성남시 분당구,25.09.04,102,개인,개인,N
41135,11400,1,0066,0000,미금로,41135,3180016,02,0,00177,00000,구미동,까치마을(3단지)(신원),66,101.86,2025,6,7,162000,10,1995,41135-165,None,None,중개거래,경기 성남시 분당구,25.10.02,304,개인,개인,N
41135,10600,1,0143,0000,이매로,41135,3180047,01,0,00016,00000,이매동,아름마을(효성),143,101.76,2025,6,15,178000,7,1994,41135-88,None,None,중개거래,"경기 성남시 분당구, 경기 안양시 동안구",25.09.05,704,개인,개인,N
41135,10900,1,0705,0000,동판교로,41135,3178016,01,0,00275,00000,삼평동,봇들마을1단지(판교신미주),705,82.794,2025,6,22,158000,4,2009,41135-440,None,None,중개거래,경기 성남시 분당구,25.09.01,116,개인,개인,N
41135,10600,1,0100,0000,양현로,41135,3180042,02,0,00192,00000,이매동,이매촌(삼성),100,84.94,2025,6,16,139500,3,1994,41135-92,None,None,중개거래,경기 성남시 분당구,25.08.29,1025,개인,개인,N
