region_key,sido_short,sigungu_name,year_month,ym_date,n_transactions,avg_transaction_price_10k,n_new_building_permits,sac_eligible_grfa_sqm,total_new_grfa_sqm,elec_commercial_sido_approx,client_service_score_avg,misorder_rate_regional
11110,서울,종로구,202502,2025-02-01,,,1.0,4521.36,5580.85,3060336114,,
11110,서울,종로구,202503,2025-03-01,,,,771.15,2691.05,3060336114,,
11110,서울,종로구,202504,2025-04-01,,,1.0,7859.930000000001,10710.78,3060336114,,
11110,서울,종로구,202505,2025-05-01,,,,3171.25,3171.25,3060336114,,
11110,서울,종로구,202506,2025-06-01,,,1.0,2371.949,2371.949,3060336114,,
11110,서울,종로구,202507,2025-07-01,,,1.0,146.65,290.18,3060336114,,
11110,서울,종로구,202508,2025-08-01,,,2.0,3998.8900000000003,6182.11,3060336114,,
11110,서울,종로구,202509,2025-09-01,,,,3350.2599999999998,5608.68,3060336114,,
11110,서울,종로구,202510,2025-10-01,,,,1901.77,3184.14,3060336114,,
11110,서울,종로구,202511,2025-11-01,,,1.0,1538.4300000000003,1926.09,3060336114,,
11110,서울,종로구,202512,2025-12-01,,,,3673.855,5404.665,3060336114,,
11110,서울,종로구,202601,2026-01-01,,,2.0,,,3060336114,,
11110,서울,종로구,202602,2026-02-01,52.0,118036.92307692308,1.0,1409.34,1761.983,3060336114,,
11110,서울,종로구,202603,2026-03-01,56.0,107966.96428571429,,1725.56,2367.0,3060336114,,
11110,서울,종로구,202604,2026-04-01,89.0,109684.38202247191,1.0,1725.56,2367.0,3060336114,,
11110,서울,종로구,202605,2026-05-01,89.0,99887.02247191011,1.0,,,3060336114,,
11110,서울,종로구,202606,2026-06-01,32.0,137031.15625,,,,3060336114,,
11110,서울,종로구,202607,2026-07-01,24.0,103500.0,,,,3060336114,,
11140,서울,중구,202502,2025-02-01,,,,214.3,214.3,3060336114,,
11140,서울,중구,202503,2025-03-01,,,,2099.3,2099.3,3060336114,,
11140,서울,중구,202504,2025-04-01,,,,1485.62,1485.62,3060336114,,
11140,서울,중구,202505,2025-05-01,,,,1244.6799999999998,1244.6799999999998,3060336114,,
11140,서울,중구,202506,2025-06-01,,,,1608.5900000000001,1608.5900000000001,3060336114,,
11140,서울,중구,202507,2025-07-01,,,1.0,662.09,1149.48,3060336114,,
11140,서울,중구,202508,2025-08-01,,,,41793.61,52787.47,3060336114,,
11140,서울,중구,202509,2025-09-01,,,,2564.24,2769.6800000000003,3060336114,,
11140,서울,중구,202510,2025-10-01,,,,170.23,1026.4099999999999,3060336114,,
11140,서울,중구,202511,2025-11-01,,,2.0,12402.279999999999,12402.279999999999,3060336114,,
11140,서울,중구,202512,2025-12-01,,,,753.53,1658.01,3060336114,,
11140,서울,중구,202601,2026-01-01,,,,2102.33,2102.33,3060336114,,
11140,서울,중구,202602,2026-02-01,65.0,118133.07692307692,,1938.41,1938.41,3060336114,,
11140,서울,중구,202603,2026-03-01,104.0,118536.44230769231,,1462.42,1589.54,3060336114,,
11140,서울,중구,202604,2026-04-01,129.0,114514.88372093023,,1462.42,1589.54,3060336114,,
11140,서울,중구,202605,2026-05-01,124.0,133939.50806451612,,,,3060336114,,
11140,서울,중구,202606,2026-06-01,58.0,120008.62068965517,1.0,,,3060336114,,
11140,서울,중구,202607,2026-07-01,27.0,97582.5925925926,,,,3060336114,,
11170,서울,용산구,202502,2025-02-01,,,,1887.48,2507.39,3060336114,,
11170,서울,용산구,202503,2025-03-01,,,,3777.69,4473.34,3060336114,,
11170,서울,용산구,202504,2025-04-01,,,,183.33,183.33,3060336114,,
11170,서울,용산구,202505,2025-05-01,,,1.0,1725.8690000000001,2461.309,3060336114,,
11170,서울,용산구,202506,2025-06-01,,,1.0,418.1,657.95,3060336114,,
11170,서울,용산구,202507,2025-07-01,,,1.0,11682.36,11880.51,3060336114,3.4464285714285716,26.797385620915033
11170,서울,용산구,202508,2025-08-01,,,,3729.7499999999995,3729.75,3060336114,3.627906976744186,33.33333333333333
11170,서울,용산구,202509,2025-09-01,,,1.0,1771.51,1771.51,3060336114,3.4347826086956523,29.87012987012987
11170,서울,용산구,202510,2025-10-01,,,,4304.68,4401.7,3060336114,4.1,24.675324675324674
11170,서울,용산구,202511,2025-11-01,,,,5747.4800000000005,5747.48,3060336114,4.0,28.57142857142857
11170,서울,용산구,202512,2025-12-01,,,,2304.56,2469.7799999999997,3060336114,3.4444444444444438,31.11111111111111
11170,서울,용산구,202601,2026-01-01,,,,740.77,740.77,3060336114,2.3333333333333335,18.6046511627907
11170,서울,용산구,202602,2026-02-01,99.0,236073.63636363635,3.0,1224.67,1224.67,3060336114,3.45,37.704918032786885
11170,서울,용산구,202603,2026-03-01,78.0,243717.8205128205,1.0,2379.05,3275.95,3060336114,3.8400000000000003,24.137931034482758
11170,서울,용산구,202604,2026-04-01,141.0,232183.8439716312,,2379.05,3275.95,3060336114,3.1714285714285717,33.64485981308411
11170,서울,용산구,202605,2026-05-01,156.0,238635.62820512822,1.0,,,3060336114,3.3750000000000004,24.6031746031746
11170,서울,용산구,202606,2026-06-01,61.0,244695.0819672131,,,,3060336114,3.6956521739130435,28.47222222222222
11170,서울,용산구,202607,2026-07-01,18.0,235722.11111111112,,,,3060336114,,
11200,서울,성동구,202502,2025-02-01,,,,774.17,774.17,3060336114,,
11200,서울,성동구,202503,2025-03-01,,,,241.66,241.66,3060336114,,
11200,서울,성동구,202504,2025-04-01,,,1.0,10234.32,10234.32,3060336114,,
11200,서울,성동구,202505,2025-05-01,,,,997.92,1992.85,3060336114,,
11200,서울,성동구,202506,2025-06-01,,,,30738.2,30738.2,3060336114,,
11200,서울,성동구,202507,2025-07-01,,,,33863.89,33863.89,3060336114,,
11200,서울,성동구,202508,2025-08-01,,,,10730.41,21419.92,3060336114,,
11200,서울,성동구,202509,2025-09-01,,,,1779.1,1779.1,3060336114,,
11200,서울,성동구,202510,2025-10-01,,,,1997.89,1997.89,3060336114,,
11200,서울,성동구,202511,2025-11-01,,,,399.98,399.98,3060336114,,
11200,서울,성동구,202512,2025-12-01,,,,1724.85,1724.85,3060336114,,
11200,서울,성동구,202601,2026-01-01,,,,6321.5599999999995,6321.56,3060336114,,
11200,서울,성동구,202602,2026-02-01,120.0,170542.25,,2461.4,9259.678,3060336114,,
11200,서울,성동구,202603,2026-03-01,115.0,169036.95652173914,,37567.07,37567.07,3060336114,,
11200,서울,성동구,202604,2026-04-01,224.0,182195.5357142857,,37567.07,37567.07,3060336114,,
11200,서울,성동구,202605,2026-05-01,223.0,187906.95067264573,,,,3060336114,,
11200,서울,성동구,202606,2026-06-01,128.0,177390.625,,,,3060336114,,
11200,서울,성동구,202607,2026-07-01,37.0,189951.35135135136,,,,3060336114,,
11215,서울,광진구,202502,2025-02-01,,,,4845.17,5131.57,3060336114,,
11215,서울,광진구,202503,2025-03-01,,,,,,3060336114,,
11215,서울,광진구,202504,2025-04-01,,,,623.7,623.7,3060336114,,
11215,서울,광진구,202505,2025-05-01,,,,787.27,943.41,3060336114,,
11215,서울,광진구,202506,2025-06-01,,,,1655.5,1836.63,3060336114,,
11215,서울,광진구,202507,2025-07-01,,,,19194.310999999998,19526.411,3060336114,,
11215,서울,광진구,202508,2025-08-01,,,,2079.54,2505.68,3060336114,,
11215,서울,광진구,202509,2025-09-01,,,,,,3060336114,,
11215,서울,광진구,202510,2025-10-01,,,,1916.52,2075.92,3060336114,,
11215,서울,광진구,202511,2025-11-01,,,2.0,1781.87,1781.87,3060336114,,
11215,서울,광진구,202512,2025-12-01,,,,928.74,1390.82,3060336114,,
11215,서울,광진구,202601,2026-01-01,,,,2053.1800000000003,2379.7,3060336114,,
11215,서울,광진구,202602,2026-02-01,79.0,140761.64556962025,,14500.859,14500.859,3060336114,,
11215,서울,광진구,202603,2026-03-01,65.0,125803.84615384616,,4407.110000000001,4670.360000000001,3060336114,,
11215,서울,광진구,202604,2026-04-01,131.0,144116.03053435116,,4407.110000000001,4670.360000000001,3060336114,,
11215,서울,광진구,202605,2026-05-01,201.0,130369.65174129354,1.0,,,3060336114,,
11215,서울,광진구,202606,2026-06-01,71.0,143751.4084507042,,,,3060336114,,
11215,서울,광진구,202607,2026-07-01,41.0,152804.8780487805,,,,3060336114,,
11230,서울,동대문구,202502,2025-02-01,,,1.0,1072.35,1072.35,3060336114,,
11230,서울,동대문구,202503,2025-03-01,,,2.0,13272.71,14942.024,3060336114,,
11230,서울,동대문구,202504,2025-04-01,,,2.0,539.5029999999999,539.5029999999999,3060336114,,
11230,서울,동대문구,202505,2025-05-01,,,1.0,5585.821,5585.821,3060336114,,
11230,서울,동대문구,202506,2025-06-01,,,1.0,8012.530000000001,8012.53,3060336114,,
11230,서울,동대문구,202507,2025-07-01,,,,27742.191000000003,27742.191000000003,3060336114,,
11230,서울,동대문구,202508,2025-08-01,,,1.0,24276.04,24276.04,3060336114,,
11230,서울,동대문구,202509,2025-09-01,,,,1061.99,1544.95,3060336114,,
11230,서울,동대문구,202510,2025-10-01,,,1.0,2836.6,3016.37,3060336114,,
11230,서울,동대문구,202511,2025-11-01,,,,634.24,634.24,3060336114,,
11230,서울,동대문구,202512,2025-12-01,,,,15686.13,15686.13,3060336114,,
11230,서울,동대문구,202601,2026-01-01,,,,1965.51,1965.51,3060336114,,
11230,서울,동대문구,202602,2026-02-01,243.0,100603.93827160494,,1317.97,1475.328,3060336114,,
11230,서울,동대문구,202603,2026-03-01,241.0,92512.3112033195,1.0,945.4699999999999,945.47,3060336114,,
11230,서울,동대문구,202604,2026-04-01,386.0,97419.20466321244,,945.4699999999999,945.47,3060336114,,
11230,서울,동대문구,202605,2026-05-01,348.0,101892.10344827586,,,,3060336114,,
11230,서울,동대문구,202606,2026-06-01,235.0,107500.09787234043,,,,3060336114,,
11230,서울,동대문구,202607,2026-07-01,99.0,111947.44444444444,,,,3060336114,,
11260,서울,중랑구,202502,2025-02-01,,,1.0,3893.75,3893.75,3060336114,,
11260,서울,중랑구,202503,2025-03-01,,,,317.64,317.64,3060336114,,
11260,서울,중랑구,202504,2025-04-01,,,1.0,207.21,207.21,3060336114,,
11260,서울,중랑구,202505,2025-05-01,,,,1572.8999999999999,2394.47,3060336114,,
11260,서울,중랑구,202506,2025-06-01,,,,2122.8,2122.8,3060336114,,
11260,서울,중랑구,202507,2025-07-01,,,,659.77,659.77,3060336114,,
11260,서울,중랑구,202508,2025-08-01,,,,7019.77,7340.49,3060336114,,
11260,서울,중랑구,202509,2025-09-01,,,,3342.1800000000003,3392.83,3060336114,,
11260,서울,중랑구,202510,2025-10-01,,,,244.25,244.25,3060336114,,
11260,서울,중랑구,202511,2025-11-01,,,,220.0,303.34000000000003,3060336114,,
11260,서울,중랑구,202512,2025-12-01,,,,198.7,198.7,3060336114,,
11260,서울,중랑구,202601,2026-01-01,,,,6082.6900000000005,7317.6,3060336114,,
11260,서울,중랑구,202602,2026-02-01,207.0,70483.57487922705,,2017.02,2017.02,3060336114,,
11260,서울,중랑구,202603,2026-03-01,237.0,69447.89029535865,,,,3060336114,,
11260,서울,중랑구,202604,2026-04-01,394.0,68734.4923857868,1.0,,,3060336114,,
11260,서울,중랑구,202605,2026-05-01,319.0,68582.91222570532,,,,3060336114,,
11260,서울,중랑구,202606,2026-06-01,213.0,68694.3661971831,,,,3060336114,,
11260,서울,중랑구,202607,2026-07-01,390.0,43826.02564102564,,,,3060336114,,
11290,서울,성북구,202502,2025-02-01,,,,5156.04,5895.03,3060336114,,
11290,서울,성북구,202503,2025-03-01,,,,0.0,758.5,3060336114,,
11290,서울,성북구,202504,2025-04-01,,,1.0,2832.51,2832.51,3060336114,,
11290,서울,성북구,202505,2025-05-01,,,2.0,4727.17,5758.89,3060336114,,
11290,서울,성북구,202506,2025-06-01,,,,25974.847,25974.847,3060336114,,
11290,서울,성북구,202507,2025-07-01,,,1.0,1419.3300000000002,1419.3300000000002,3060336114,,
11290,서울,성북구,202508,2025-08-01,,,3.0,1111.98,1111.98,3060336114,,
11290,서울,성북구,202509,2025-09-01,,,1.0,0.0,1690.6100000000001,3060336114,,
11290,서울,성북구,202510,2025-10-01,,,1.0,,,3060336114,,
11290,서울,성북구,202511,2025-11-01,,,,2513.4700000000003,2878.4,3060336114,,
11290,서울,성북구,202512,2025-12-01,,,1.0,,,3060336114,,
11290,서울,성북구,202601,2026-01-01,,,3.0,0.0,262.83,3060336114,,
11290,서울,성북구,202602,2026-02-01,410.0,94498.48780487805,,0.0,125.7,3060336114,,
11290,서울,성북구,202603,2026-03-01,353.0,88169.80169971671,,263.81,1534.94,3060336114,,
11290,서울,성북구,202604,2026-04-01,499.0,92181.85971943887,1.0,263.81,1534.94,3060336114,,
11290,서울,성북구,202605,2026-05-01,499.0,95344.48897795592,1.0,,,3060336114,,
11290,서울,성북구,202606,2026-06-01,318.0,100001.63522012578,1.0,,,3060336114,,
11290,서울,성북구,202607,2026-07-01,150.0,96704.66666666667,,,,3060336114,,
11305,서울,강북구,202502,2025-02-01,,,,5324.24,5373.45,3060336114,,
11305,서울,강북구,202503,2025-03-01,,,,2001.4299999999998,2001.4299999999998,3060336114,,
11305,서울,강북구,202504,2025-04-01,,,,2092.97,2360.89,3060336114,,
11305,서울,강북구,202505,2025-05-01,,,,2367.54,2367.54,3060336114,,
11305,서울,강북구,202506,2025-06-01,,,,3657.17,3657.17,3060336114,,
11305,서울,강북구,202507,2025-07-01,,,,3688.49,4023.91,3060336114,,
11305,서울,강북구,202508,2025-08-01,,,,712.54,712.54,3060336114,,
11305,서울,강북구,202509,2025-09-01,,,,2914.86,2945.6600000000003,3060336114,,
11305,서울,강북구,202510,2025-10-01,,,,,,3060336114,,
11305,서울,강북구,202511,2025-11-01,,,,1514.1100000000001,7117.87,3060336114,,
11305,서울,강북구,202512,2025-12-01,,,,854.0,854.0,3060336114,,
11305,서울,강북구,202601,2026-01-01,,,,5368.060000000001,5368.06,3060336114,,
11305,서울,강북구,202602,2026-02-01,160.0,70591.25,,231.49,1537.72,3060336114,,
11305,서울,강북구,202603,2026-03-01,142.0,71788.02816901408,,3132.17,3132.17,3060336114,,
11305,서울,강북구,202604,2026-04-01,205.0,73816.58536585367,,1318.7,1318.7,3060336114,,
11305,서울,강북구,202605,2026-05-01,194.0,70972.42268041238,,,,3060336114,,
11305,서울,강북구,202606,2026-06-01,105.0,73598.09523809524,,,,3060336114,,
11305,서울,강북구,202607,2026-07-01,40.0,72555.0,,,,3060336114,,
11320,서울,도봉구,202502,2025-02-01,,,1.0,,,3060336114,,
11320,서울,도봉구,202503,2025-03-01,,,1.0,,,3060336114,,
11320,서울,도봉구,202504,2025-04-01,,,1.0,,,3060336114,,
11320,서울,도봉구,202505,2025-05-01,,,1.0,231.12,231.12,3060336114,,
11320,서울,도봉구,202506,2025-06-01,,,1.0,330.01,330.01,3060336114,,
11320,서울,도봉구,202507,2025-07-01,,,,69063.03700000001,69063.03700000001,3060336114,,
11320,서울,도봉구,202508,2025-08-01,,,,2988.33,2988.33,3060336114,,
11320,서울,도봉구,202509,2025-09-01,,,,374.49,374.49,3060336114,,
11320,서울,도봉구,202510,2025-10-01,,,,190.76,190.76,3060336114,,
11320,서울,도봉구,202511,2025-11-01,,,,1201.3600000000001,1201.3600000000001,3060336114,,
11320,서울,도봉구,202512,2025-12-01,,,1.0,5271.09,5340.52,3060336114,,
11320,서울,도봉구,202601,2026-01-01,,,,659.46,659.46,3060336114,,
11320,서울,도봉구,202602,2026-02-01,199.0,56067.71356783919,,,,3060336114,,
11320,서울,도봉구,202603,2026-03-01,258.0,55685.15891472868,1.0,659.05,659.05,3060336114,,
11320,서울,도봉구,202604,2026-04-01,400.0,56797.5,1.0,87230.29000000001,87230.29000000001,3060336114,,
11320,서울,도봉구,202605,2026-05-01,339.0,58054.7197640118,1.0,,,3060336114,,
11320,서울,도봉구,202606,2026-06-01,282.0,58889.89361702128,,,,3060336114,,
11320,서울,도봉구,202607,2026-07-01,143.0,57271.67832167832,,,,3060336114,,
11350,서울,노원구,202502,2025-02-01,,,1.0,1251.92,1251.92,3060336114,,
11350,서울,노원구,202503,2025-03-01,,,,,,3060336114,,
11350,서울,노원구,202504,2025-04-01,,,1.0,474.03999999999996,474.03999999999996,3060336114,,
11350,서울,노원구,202505,2025-05-01,,,,15190.169,15190.169,3060336114,,
11350,서울,노원구,202506,2025-06-01,,,2.0,,,3060336114,,
11350,서울,노원구,202507,2025-07-01,,,2.0,1105.9,1105.9,3060336114,3.520833333333333,23.015873015873016
11350,서울,노원구,202508,2025-08-01,,,1.0,55.44,55.44,3060336114,3.5757575757575757,25.0
11350,서울,노원구,202509,2025-09-01,,,1.0,,,3060336114,3.9333333333333336,26.82926829268293
11350,서울,노원구,202510,2025-10-01,,,1.0,459.05,459.05,3060336114,3.423076923076923,24.050632911392405
11350,서울,노원구,202511,2025-11-01,,,1.0,,,3060336114,3.3499999999999996,32.8125
11350,서울,노원구,202512,2025-12-01,,,,,,3060336114,3.947368421052632,17.073170731707318
11350,서울,노원구,202601,2026-01-01,,,,,,3060336114,3.3571428571428568,18.181818181818183
11350,서울,노원구,202602,2026-02-01,823.0,62261.15917375455,2.0,,,3060336114,3.6521739130434776,28.07017543859649
11350,서울,노원구,202603,2026-03-01,765.0,64303.660130718956,2.0,,,3060336114,3.666666666666666,32.926829268292686
11350,서울,노원구,202604,2026-04-01,1038.0,64331.25240847784,1.0,,,3060336114,3.871794871794872,30.392156862745097
11350,서울,노원구,202605,2026-05-01,892.0,66096.42376681614,1.0,,,3060336114,3.3137254901960786,32.06106870229007
11350,서울,노원구,202606,2026-06-01,675.0,68020.66666666667,2.0,,,3060336114,3.4042553191489366,28.02547770700637
11350,서울,노원구,202607,2026-07-01,292.0,70685.78767123287,,,,3060336114,,
11380,서울,은평구,202502,2025-02-01,,,1.0,8720.414,8720.414,3060336114,,
11380,서울,은평구,202503,2025-03-01,,,1.0,0.0,323.98,3060336114,,
11380,서울,은평구,202504,2025-04-01,,,6.0,9521.77,9521.77,3060336114,,
11380,서울,은평구,202505,2025-05-01,,,3.0,264.33,1532.08,3060336114,,
11380,서울,은평구,202506,2025-06-01,,,,3203.04,3203.04,3060336114,,
